id	name
890	125A
891	GARAGE 26
892	PLOT 89
893	FORGE COTTAGE
894	FLAT BASEMENT AND GROUND FLOOR
895	ROOM A
896	SIXTH FLOOR
897	26-28
898	ATM AT
899	FLAT 109
900	FLAT GROUND FLOOR A
901	PLOT 90
902	LOWER GROUND FLOOR FLAT
903	CHURCH HOUSE
904	60B
905	APARTMENT 25
906	UNIT 32
907	122A
908	ROOM B
909	FOUR WINDS
910	HALL
911	FLAT 114
912	FAIRFIELD
913	CAFE
914	FLAT 113
915	FLAT 110
916	LAND AND BUILDINGS ON THE NORTH SIDE OF
917	NEWLANDS
918	FORMER 1
919	WARDENS FLAT
920	LAND AND BUILDINGS ON THE SOUTH SIDE OF
921	THE LIMES
922	29-31
923	THE HOMESTEAD
924	GRANGE FARM
925	FORMER FLAT 1
926	23C
927	STORAGE LAND
928	FORMER FLAT 2
929	THE OLD BAKERY
930	BOWLING GREEN
931	PLOT 92
932	UPPER FLOOR FLAT
933	24-26
934	THE HAWTHORNS
935	23-25
936	61B
937	PLOT 91
938	AVALON
939	SCOUT HUT
940	GARAGE 27
941	GF1
942	HILL FARM
943	MEADOW COTTAGE
944	MEADOWSIDE
945	PLOT 94
946	PLOT 93
947	62B
948	9D
949	FORMER 2
950	THE BRAMBLES
951	124A
952	FLAT 2B
953	RIVENDELL
954	FLAT 115
955	THE FARMHOUSE
956	126A
957	UNIT 1C
958	APARTMENT 26
959	BEECH COTTAGE
960	LYNDHURST
961	VALLEY VIEW
962	20C
963	VINE COTTAGE
964	10D
965	8-9
966	PLOT 95
967	CORNER HOUSE
968	FLAT 201
969	FLAT 202
970	129A
971	FLAT 97
972	63B
973	24C
974	UNIT 33
975	GARDEN HOUSE
976	LOWER GROUND FLOOR
977	FLAT 2ND AND 3RD FLOOR
978	GARAGE 28
979	THE PINES
980	22C
981	SUITE 6
982	27-29
983	PLOT 96
984	THE MOUNT
985	THE BYRE
986	FIRST AND SECOND FLOOR MAISONETTE
987	PLOT 97
988	BRAMBLES
989	64B
990	128A
991	LAND AND BUILDINGS ON THE EAST SIDE OF
992	UNIT H
993	FLAT 116
994	LYNWOOD
995	ROOM C
996	UNIT 5B
997	11-12
998	66B
999	APARTMENT 27
1000	BROOKLANDS
1001	FLAT K
1002	POLICE STATION
1003	SECOND FLOOR LEFT
1004	31-33
1005	SECOND FLOOR RIGHT
1006	SUNNYBANK
1007	PLOT 101
1008	30-32
1009	OFFICE 5
